category,service,quantity,cost,sale_price,creation_date,doctor
Clinic,كشف,1.0,0.0,300.0,2026-05-09,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-05-09,NA
Surgeries,تعقيم قطط اناث,1.0,0.0,4000.0,2026-05-09,NA
Grooming,باكيدج جروميج قطط ,2.0,0.0,1000.0,2026-05-09,NA
Labs mojo,اشعة,1.0,0.0,300.0,2026-05-09,NA
Grooming,قص أظافر ,2.0,0.0,100.0,2026-05-09,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-05-08,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-05-08,NA
Clinic,كشف,1.0,0.0,300.0,2026-05-08,NA
Grooming,باكديج جروميج كلاب ,1.0,0.0,600.0,2026-05-08,NA
Clinic,اعطاء علاجات,4.0,0.0,200.0,2026-05-08,NA
Clinic,كشف,1.0,0.0,300.0,2026-05-08,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-05-08,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-05-08,NA
Labs,urine analysis,1.0,7.0,200.0,2026-05-08,NA
Labs,culture,1.0,0.0,400.0,2026-05-08,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-05-08,NA
Labs,blood parasities,1.0,0.0,400.0,2026-05-08,NA
Grooming,قص أظافر ,1.0,0.0,70.0,2026-05-08,NA
Clinic,tips,1.0,0.0,90.0,2026-05-08,NA
Vaccinations,فطريات,3.0,0.0,1500.0,2026-05-08,NA
Clinic,كشف,1.0,0.0,500.0,2026-05-08,NA
Vaccinations,s panacure,1.0,0.7,200.0,2026-05-08,NA
Grooming,حلاقة  قطط ,1.0,0.0,300.0,2026-05-08,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-05-08,NA
Grooming,حلاقة قطة زيرو + تشابك شعر,1.0,0.0,400.0,2026-05-07,NA
Grooming,قص أظافر ,1.0,0.0,70.0,2026-05-07,NA
Clinic,كشف,1.0,0.0,300.0,2026-05-07,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-05-07,NA
Clinic,ايكو د مايكل,1.0,1100.0,1500.0,2026-05-07,NA
Grooming,حلاقة  قطط ,1.0,0.0,300.0,2026-05-07,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-05-07,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-05-07,NA
Grooming,حلاقة  قطط ,2.0,0.0,600.0,2026-05-07,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,2.0,0.0,400.0,2026-05-06,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-05-06,NA
Clinic,كشف,1.0,0.0,150.0,2026-05-06,NA
Clinic,اعطاء علاجات,4.0,0.0,200.0,2026-05-06,NA
Supplies,غيار علي الجرح,4.0,120.0,200.0,2026-05-06,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-05-06,NA
Clinic,كشف,1.0,0.0,300.0,2026-05-06,NA
Grooming,قص أظافر ,1.0,0.0,70.0,2026-05-06,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,350.0,2026-05-06,NA
Clinic,كشف,1.0,0.0,150.0,2026-05-05,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-05-05,NA
Clinic,كشف,1.0,0.0,300.0,2026-05-05,NA
Clinic,اعطاء علاجات,2.0,0.0,300.0,2026-05-05,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-05-05,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-05-05,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-05-05,NA
Clinic,كشف,1.0,0.0,450.0,2026-05-05,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-05-05,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-05-05,NA
Clinic,كشف,1.0,0.0,150.0,2026-05-05,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-05-05,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-05-05,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,350.0,2026-05-05,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-05-05,NA
