category,service,quantity,cost,sale_price,creation_date,doctor
Clinic,كشف,1.0,0.0,500.0,2026-03-05,NA
Grooming,باكديج جروميج كلاب ,1.0,0.0,600.0,2026-03-05,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-05,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-03-05,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-05, د. حساني
Grooming,باكديج جروميج كلاب ,1.0,0.0,600.0,2026-03-05,NA
Clinic,اعطاء علاجات,5.0,0.0,250.0,2026-03-05,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-03-05,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-05,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-05,NA
Labs,urine analysis,1.0,7.0,200.0,2026-03-05,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-05,NA
Labs,culture,1.0,0.0,400.0,2026-03-05,NA
Surgeries,قسطره فقط,1.0,0.0,500.0,2026-03-05,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-03-04,NA
Grooming,استحمام قطط,1.0,0.0,300.0,2026-03-04,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-04,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-03-04,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-03-04,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-04,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-04, د. مصطفي
Labs,blood parasities,1.0,0.0,400.0,2026-03-04,NA
Clinic,جلسة اوكسجين,1.0,100.0,200.0,2026-03-04,NA
Clinic,اعطاء علاجات,5.0,0.0,250.0,2026-03-04,NA
Clinic,اعطاء علاجات,4.0,0.0,200.0,2026-03-04,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-03-04,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-04,NA
Clinic,اعطاء علاجات,10.0,0.0,500.0,2026-03-04,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-03-04,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-04,NA
Grooming,استحمام قطط,1.0,0.0,300.0,2026-03-04,NA
Labs mojo,اشعة,2.0,0.0,800.0,2026-03-04,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-04, د. مصطفي
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-03-04,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-04,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-03-04,NA
Surgeries,حقن ميكروشيب ,1.0,0.0,800.0,2026-03-03,NA
Labs mojo,تتر سعار اوروبي,1.0,0.0,15000.0,2026-03-03,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-03,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-03, د. حساني
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-03,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-03,NA
Clinic,اعطاء علاجات,1.0,0.0,40.0,2026-03-03,NA
Supplies,انتقالات,1.0,0.0,200.0,2026-03-02,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-03-02,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-02, د. مصطفي
Grooming,قص أظافر ,1.0,0.0,350.0,2026-03-02,NA
Clinic,tips,1.0,0.0,150.0,2026-03-02,NA
Grooming,حلاقة  قطط ,1.0,0.0,250.0,2026-03-02,NA
Supplies,انتقالات,1.0,0.0,200.0,2026-03-02,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-03-02,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-02,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-03-02,NA
Clinic,كشف,1.0,0.0,450.0,2026-03-02, د. انس
Labs mojo,سونار,1.0,0.0,400.0,2026-03-02,NA
Supplies,غيار علي الجرح,2.0,60.0,100.0,2026-03-02,NA
Labs mojo,اختبار بارفو,1.0,0.0,900.0,2026-03-02,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-03-02,NA
Clinic,اعطاء علاجات,1.0,0.0,350.0,2026-03-02,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-03-02,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-02, د. انس
Vaccinations,s panacure,4.0,2.8,200.0,2026-03-02,NA
Labs,urine analysis,1.0,7.0,400.0,2026-03-02,NA
Clinic,متابعه اشعه,1.0,0.0,200.0,2026-03-02,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-03-02,NA
Labs,blood parasities,1.0,0.0,400.0,2026-03-02,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-03-02,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-03-01,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-01, د. انس
Labs,urine analysis,1.0,7.0,330.0,2026-03-01,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-01, د. مصطفي
Supplies,غيار علي الجرح,1.0,30.0,200.0,2026-03-01,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-01, د. مصطفي
Labs mojo,cbc mojo ,2.0,400.0,400.0,2026-02-28,NA
Supplies,غيار علي الجرح,2.0,60.0,100.0,2026-02-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-28, د. حساني
Labs mojo,اشعة,2.0,0.0,800.0,2026-02-28,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-02-28,NA
Clinic,متابعه سونار,1.0,0.0,200.0,2026-02-28,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-02-28,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-02-28,NA
Vaccinations,s panacure,4.0,2.8,200.0,2026-02-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-28, د. انس
Vaccinations,s panacure,4.0,2.8,200.0,2026-02-28,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-02-28,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-02-28,NA
Clinic,اعطاء علاجات,4.0,0.0,200.0,2026-02-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-28, د. انس
Labs mojo,اشعة,1.0,0.0,400.0,2026-02-28,NA
Supplies,synoquin,2.0,60.0,100.0,2026-02-28,NA
Supplies,غيار علي الجرح,2.0,60.0,100.0,2026-02-28,NA
Labs mojo,اختبار بارفو,1.0,0.0,900.0,2026-02-28,NA
Clinic,كشف,1.0,0.0,450.0,2026-02-28,NA
Clinic,تركيب كانولا,1.0,0.0,100.0,2026-02-28,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-02-28,NA
Labs,blood parasities,1.0,0.0,450.0,2026-02-28,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-02-28,NA
Clinic,كشف,1.0,0.0,450.0,2026-02-28,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-02-28,NA
Clinic,اعطاء علاجات,1.0,0.0,150.0,2026-02-28,NA
Supplies,غيار علي الجرح,2.0,60.0,100.0,2026-02-28,NA
Labs,urine analysis,1.0,7.0,200.0,2026-02-28,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-02-28,NA
Labs External,Fecal CULTURE & SENSITIVITY,1.0,200.0,400.0,2026-02-28,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-02-28,NA
