category,service,quantity,cost,sale_price,creation_date,doctor
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-03-20,NA
Clinic,اعطاء علاجات,4.0,0.0,200.0,2026-03-20,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-20,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-20,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-20,NA
Clinic,كشف,1.0,0.0,450.0,2026-03-20,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-03-20,NA
Labs,blood parasities,1.0,0.0,450.0,2026-03-20,NA
Labs mojo,اختبار بارفو,1.0,0.0,900.0,2026-03-20,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-03-20,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-03-20,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,250.0,2026-03-20,NA
Clinic,اعطاء علاجات,6.0,0.0,300.0,2026-03-20,NA
Clinic,كشف,1.0,0.0,450.0,2026-03-20,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-03-20,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-20,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-03-20,NA
Clinic,كشف,1.0,0.0,450.0,2026-03-20,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-03-20,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-20,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-03-20,NA
Clinic,اعطاء علاجات,5.0,0.0,250.0,2026-03-20,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-03-20,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-03-20,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-20,NA
Clinic,tips,1.0,0.0,200.0,2026-03-20,NA
Grooming,باكديج جروميج كلاب ,1.0,0.0,700.0,2026-03-20,NA
Grooming,باكديج جروميج كلاب ,2.0,0.0,1000.0,2026-03-20,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-20,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-03-20,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-20, د. حساني
Grooming,قص أظافر ,3.0,0.0,150.0,2026-03-19,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-19,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-19, د. مصطفي
Vaccinations,s panacure,1.0,0.7,250.0,2026-03-19,NA
Clinic,كشف,1.0,0.0,450.0,2026-03-19,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-03-19,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-03-19,NA
Clinic,متابعه سونار,1.0,0.0,200.0,2026-03-19,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-19,NA
Supplies,كولر,1.0,0.0,250.0,2026-03-19,NA
Surgeries,قسطره فقط,1.0,0.0,500.0,2026-03-19,NA
Labs,urine analysis,1.0,7.0,200.0,2026-03-19,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-19,NA
Labs,culture,1.0,0.0,400.0,2026-03-19,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-03-19,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-03-19,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-19,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-03-19,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-03-19,NA
Grooming,باكيدج جروميج قطط ,1.0,0.0,550.0,2026-03-19,NA
Labs External,FN Cytology,1.0,500.0,1700.0,2026-03-19,NA
Grooming,حلاقة  قطط ,1.0,0.0,250.0,2026-03-18,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-03-18,NA
Clinic,اعطاء علاجات,4.0,0.0,200.0,2026-03-18,NA
Vaccinations,s panacure,4.0,2.8,200.0,2026-03-18,NA
Grooming,قص أظافر ,2.0,0.0,100.0,2026-03-18,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-03-18,NA
Clinic,كشف,1.0,0.0,300.0,2026-03-18, د. مصطفي
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-03-18,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-03-18,NA
Clinic,اعطاء علاجات,5.0,0.0,250.0,2026-03-18,NA
Supplies,كولر,1.0,0.0,300.0,2026-03-18,NA
Clinic,tips,1.0,0.0,50.0,2026-03-18,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-03-18,NA
Surgeries,عمليات للعظام,1.0,0.0,18000.0,2026-03-18,NA
Grooming,استحمام قطط,1.0,0.0,350.0,2026-03-18,NA
