category,service,quantity,cost,sale_price,creation_date,doctor
Clinic,كشف,1.0,0.0,300.0,2026-04-04, د. انس
Clinic,متابعه سونار,1.0,0.0,200.0,2026-04-04,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-04-04,NA
Grooming,قص أظافر ,1.0,0.0,70.0,2026-04-04,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-04-04,NA
Clinic,اعطاء علاجات,4.0,0.0,200.0,2026-04-04,NA
Grooming,استحمام قطط,1.0,0.0,250.0,2026-04-04,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-04-04,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,250.0,2026-04-04,NA
Clinic,كشف,1.0,0.0,300.0,2026-04-04,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,450.0,2026-04-04,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-04-04,NA
Clinic,كشف,1.0,0.0,450.0,2026-04-04,NA
Clinic,جلسة اوكسجين,1.0,100.0,150.0,2026-04-04,NA
Clinic,كشف,1.0,0.0,450.0,2026-04-04,NA
Labs mojo,اشعة,2.0,0.0,800.0,2026-04-04,NA
Clinic,كشف,1.0,0.0,300.0,2026-04-04,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-04-04,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-04-04,NA
Clinic,كشف,1.0,0.0,300.0,2026-04-04,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-04-04,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-04-02,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,2.0,0.0,400.0,2026-04-02,NA
Clinic,اعطاء علاجات,1.0,0.0,500.0,2026-04-01,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-04-01,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-04-01,NA
Clinic,كشف,1.0,0.0,300.0,2026-04-01, د. حساني
