category,service,quantity,cost,sale_price,creation_date,doctor
Clinic,كشف,1.0,0,300.0,2026-07-25,NA
Clinic,اعطاء علاجات,4.0,0,200.0,2026-07-25,NA
Clinic,كشف,1.0,0,450.0,2026-07-25,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-25,NA
Clinic,كشف,1.0,0,300.0,2026-07-25,NA
Clinic,اعطاء علاجات,1.0,0,50.0,2026-07-24,NA
Grooming,استحمام كلاب متوسطه ,1.0,0,350.0,2026-07-24,NA
Clinic,اعطاء علاجات,1.0,0,100.0,2026-07-24,NA
Clinic,اعطاء علاجات,1.0,0,100.0,2026-07-24,NA
Surgeries,عمليه صغرى,1.0,0,1000.0,2026-07-24,NA
Supplies,كولر,1.0,0,250.0,2026-07-24,NA
Clinic,كشف,1.0,0,350.0,2026-07-24,NA
Clinic,كشف,1.0,0,300.0,2026-07-24,NA
Grooming,باكيدج جروميج قطط ,1.0,0,500.0,2026-07-24,NA
Clinic,اعطاء علاجات,1.0,0,100.0,2026-07-24,NA
Clinic,كشف,1.0,0,300.0,2026-07-24,NA
Grooming,باكديج جروميج كلاب ,1.0,0,700.0,2026-07-23,NA
Labs,blood parasities,1.0,0,450.0,2026-07-23,NA
Labs External,Toxoplasma IgM-(Acute),1.0,250,500.0,2026-07-23,(Acute)
Clinic,اعطاء علاجات,5.0,0,500.0,2026-07-23,NA
Clinic,اعطاء علاجات,1.0,0,50.0,2026-07-23,NA
Grooming,حلاقة  قطط ,1.0,0,500.0,2026-07-23,NA
Grooming,باكديج جروميج كلاب ,1.0,0,600.0,2026-07-23,NA
Clinic,كشف,1.0,0,300.0,2026-07-23,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-23,NA
Labs mojo,اشعة,1.0,0,400.0,2026-07-23,NA
Surgeries,تعقيم كلاب اناث صغيره,1.0,0,3500.0,2026-07-23,NA
Supplies,كولر,1.0,0,300.0,2026-07-23,NA
Labs mojo,cbc mojo ,1.0,200,500.0,2026-07-23,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0,200.0,2026-07-23,NA
Labs mojo,اشعة,2.0,0,800.0,2026-07-23,NA
Clinic,تركيب كانولا,1.0,0,150.0,2026-07-23,NA
Clinic,كشف,1.0,0,300.0,2026-07-23,NA
Clinic,اعطاء علاجات,4.0,0,200.0,2026-07-23,NA
Grooming,إستحمام طبى ,1.0,0,450.0,2026-07-23,NA
Clinic,متابعه سونار,1.0,0,200.0,2026-07-23,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-23,NA
Labs mojo,اشعة,1.0,0,400.0,2026-07-23,NA
