category,service,quantity,cost,sale_price,creation_date,doctor
Vaccinations,s panacure,1.0,0.7,200.0,2026-02-19,NA
Grooming,قص أظافر ,1.0,0.0,150.0,2026-02-19,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-19, د. حساني
Clinic,كشف,1.0,0.0,300.0,2026-02-19, د. حساني
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,300.0,2026-02-19,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-02-19,NA
Clinic,كشف,1.0,0.0,450.0,2026-02-19,NA
Clinic,اعطاء علاجات,1.0,0.0,200.0,2026-02-19,NA
Clinic,خدمة محاليل,1.0,0.0,100.0,2026-02-19,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-02-19,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-02-19,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-02-19,NA
Supplies,غيار علي الجرح,1.0,30.0,50.0,2026-02-19,NA
Clinic,خدمة محاليل,1.0,0.0,100.0,2026-02-19,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-02-19,NA
Labs,urine analysis,1.0,7.0,200.0,2026-02-19,NA
Surgeries,قسطره فقط,1.0,0.0,700.0,2026-02-19,NA
Clinic,كشف,1.0,0.0,450.0,2026-02-19,NA
Labs,culture,1.0,0.0,400.0,2026-02-19,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-19,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-19,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-02-19,NA
Grooming,استحمام قطط,1.0,0.0,250.0,2026-02-19,NA
Labs mojo,اشعة,2.0,0.0,800.0,2026-02-19,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,350.0,2026-02-19,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-02-19,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-19, د. مصطفي
Labs mojo,اشعة,1.0,0.0,400.0,2026-02-19,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-02-19,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-02-18,NA
Clinic,كشف,1.0,0.0,900.0,2026-02-18,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-18,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-02-18,NA
Surgeries,تعقيم قطط ذكور,1.0,0.0,900.0,2026-02-18,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-02-18,NA
Supplies,كولر,1.0,0.0,300.0,2026-02-18,NA
Labs mojo,تتر سعار مصري,1.0,0.0,3000.0,2026-02-18,NA
Clinic,خدمة محاليل,1.0,0.0,150.0,2026-02-18,NA
Clinic,تخدير,1.0,0.0,200.0,2026-02-18,NA
Grooming,حلاقة  قطط ,1.0,0.0,250.0,2026-02-18,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,250.0,2026-02-18,NA
Supplies,غيار علي الجرح,2.0,60.0,100.0,2026-02-18,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-18,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-02-18,NA
Clinic,اعطاء علاجات,1.0,0.0,200.0,2026-02-18,NA
Clinic,اعطاء علاجات,1.0,0.0,200.0,2026-02-17,NA
Clinic,تخدير,1.0,0.0,200.0,2026-02-17,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,300.0,2026-02-17,NA
Clinic,كشف,1.0,0.0,300.0,2026-02-17, د. مصطفي
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-02-17,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-02-17,NA
Clinic,اعطاء علاجات,1.0,0.0,200.0,2026-02-17,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-02-17,NA
Supplies,غيار علي الجرح,1.0,30.0,200.0,2026-02-17,NA
Supplies,كولر,1.0,0.0,250.0,2026-02-17,NA
Grooming,استحمام قطط,1.0,0.0,250.0,2026-02-17,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-02-17,NA
Clinic,كشف,1.0,0.0,450.0,2026-02-17, د. حساني
