category,service,quantity,cost,sale_price,creation_date,doctor
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-01-31,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-31,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-01-31,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-01-31,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,250.0,2026-01-31,NA
Surgeries,ولاده قيصريه - قطط,1.0,0.0,3000.0,2026-01-31, قطط
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-01-31,NA
Clinic,اعطاء علاجات,1.0,0.0,300.0,2026-01-31,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-01-31,NA
Grooming,قص أظافر ,2.0,0.0,100.0,2026-01-31,NA
Grooming,باكديج جروميج كلاب ,1.0,0.0,600.0,2026-01-31,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-01-31,NA
Grooming,تنظيف غدة,1.0,0.0,50.0,2026-01-31,NA
Grooming,باكديج جروميج كلاب ,1.0,0.0,700.0,2026-01-29,NA
Supplies,synoquin,3.0,90.0,150.0,2026-01-29,NA
Grooming,باكديج جروميج كلاب ,1.0,0.0,600.0,2026-01-29,NA
Grooming,قص أظافر ,1.0,0.0,60.0,2026-01-29,NA
Labs mojo,cbc mojo ,3.0,600.0,600.0,2026-01-29,NA
Clinic,جلسة اوكسجين,1.0,100.0,200.0,2026-01-29,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-01-29,NA
Clinic,كشف,1.0,0.0,450.0,2026-01-29,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-01-29,NA
Grooming,قص أظافر ,1.0,0.0,50.0,2026-01-29,NA
Supplies,كولر,1.0,0.0,250.0,2026-01-29,NA
Supplies,انتقالات,1.0,0.0,200.0,2026-01-29,NA
Clinic,tips,1.0,0.0,110.0,2026-01-29,NA
Grooming,استحمام قطط,1.0,0.0,250.0,2026-01-29,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-01-28,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-01-28,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-01-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-28, د. مصطفي
Grooming,باكيدج جروميج قطط ,1.0,0.0,400.0,2026-01-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-28,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-01-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-28,NA
Supplies,soft can,2.0,70.0,600.0,2026-01-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-28,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-01-28,NA
Labs mojo,اختبار بارفو,1.0,0.0,900.0,2026-01-28,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,4.0,0.0,1200.0,2026-01-28,NA
Clinic,كشف,1.0,0.0,450.0,2026-01-28,NA
Clinic,اعطاء علاجات,1.0,0.0,200.0,2026-01-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-28,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-01-28,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-28,NA
Vaccinations,s panacure,1.0,0.7,200.0,2026-01-27,NA
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-01-27,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-01-27,NA
Labs,blood parasities,1.0,0.0,400.0,2026-01-27,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-01-27,NA
Supplies,كولر,1.0,0.0,250.0,2026-01-27,NA
Surgeries,تركيب قسطره بالتخدير,1.0,0.0,1500.0,2026-01-27,NA
Grooming,قص أظافر ,1.0,0.0,70.0,2026-01-27,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-27, د. حساني
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-01-27,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-27, د. حساني
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-01-27,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-27, د. حساني
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-01-27,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-01-27,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-01-27,NA
Labs,urine analysis,1.0,7.0,200.0,2026-01-27,NA
Surgeries,غسيل مثانة ,1.0,0.0,200.0,2026-01-27,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-27, د. حساني
Labs,culture,1.0,0.0,400.0,2026-01-27,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-01-27,NA
Clinic,اعطاء علاجات,1.0,0.0,50.0,2026-01-27,NA
Vaccinations,فطريات,1.0,0.0,500.0,2026-01-27,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-01-27,NA
Vaccinations,bravecto 11-20 kg,1.0,0.0,2300.0,2026-01-26,20 kg
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-01-26,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-26, د. مصطفي
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-01-26,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-01-26,NA
Clinic,تركيب كانولا,1.0,0.0,150.0,2026-01-26,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-26, د. مصطفي
Labs mojo,cbc mojo ,1.0,200.0,500.0,2026-01-26,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0.0,200.0,2026-01-26,NA
Supplies,soft can,2.0,70.0,130.0,2026-01-25,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-01-25,NA
Labs mojo,اشعة,1.0,0.0,400.0,2026-01-25,NA
Grooming,إستحمام طبى ,1.0,0.0,400.0,2026-01-25,NA
Clinic,متابعه اشعه,1.0,0.0,200.0,2026-01-25,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,250.0,2026-01-25,NA
Grooming,باكديج جروميج كلاب ,1.0,0.0,500.0,2026-01-25,NA
Grooming,حلاقة  قطط ,1.0,0.0,350.0,2026-01-25,NA
Clinic,اعطاء علاجات,2.0,0.0,100.0,2026-01-25,NA
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-01-25,NA
Labs mojo,اشعة,1.0,0.0,600.0,2026-01-25,NA
Clinic,اعطاء علاجات,3.0,0.0,150.0,2026-01-25,NA
Labs mojo,سونار,1.0,0.0,400.0,2026-01-25,NA
Clinic,كشف,1.0,0.0,300.0,2026-01-25, د. حساني
Grooming,استحمام كلاب صغيرة,1.0,0.0,300.0,2026-01-25,NA
